Hand:,RIGHT
,"r2c1-5-6-5,r1c1-5-7-5,r1c2-5-8-5,r2c2-5-8-4,r2c3-5-8-3,r2c4-5-8-2"
ID,Timestamp,isSubmitting,isCheckingCube,CubesInShape,CurrentDragging,CurrentPlacing
,48.8527,0,0,1,,
,48.85376,0,0,1,,
,48.85484,0,0,1,,
,48.8559,0,0,1,,
,48.8571,0,0,1,,
,48.85822,0,0,1,,
,48.85925,0,0,1,,
,48.86009,0,0,1,,
,48.86192,0,0,1,,
,48.86304,0,0,1,,
,48.86409,0,0,1,,
,48.86518,0,0,1,,
,48.8663,0,0,1,,
,48.86713,0,0,1,,
,48.86821,0,0,1,,
,48.86926,0,0,1,,
,48.87033,0,0,1,,
,48.8716,0,0,1,,
,48.87266,0,0,1,,
,48.87372,0,0,1,,
,48.8748,0,0,1,,
,48.87585,0,0,1,,
,48.87694,0,0,1,,
,48.87801,0,0,1,,
,48.87886,0,0,1,,
,48.87989,0,0,1,,
,48.88099,0,0,1,,
,48.88226,0,0,1,,
,48.8833,0,0,1,,
,48.88413,0,0,1,,
,48.88519,0,0,1,,
,48.88623,0,0,1,,
,48.88725,0,0,1,,
,48.8883,0,0,1,,
,48.88942,0,0,1,,
,48.89063,0,0,1,,
,48.89168,0,0,1,,
,48.89273,0,0,1,,
,48.89405,0,0,1,,
,48.89513,0,0,1,,
,48.89596,0,0,1,,
,48.89703,0,0,1,,
,48.89812,0,0,1,,
,48.89938,0,0,1,,
,48.90074,0,0,1,,
,48.90182,0,0,1,,
,48.90289,0,0,1,,
,48.90402,0,0,1,,
,48.90508,0,0,1,,
,48.9061,0,0,1,,
,48.9072,0,0,1,,
,48.90823,0,0,1,,
,48.90926,0,0,1,,
,48.91038,0,0,1,,
,48.9118,0,0,1,,
,48.91285,0,0,1,,
,48.91388,0,0,1,,
,48.91507,0,0,1,,
,48.91612,0,0,1,,
,48.91716,0,0,1,,
,48.91822,0,0,1,,
,48.91926,0,0,1,,
,48.9203,0,0,1,,
,48.92161,0,0,1,,
,48.92268,0,0,1,,
,48.92372,0,0,1,,
,48.92483,0,0,1,,
,48.92599,0,0,1,,
,48.9271,0,0,1,,
,48.9282,0,0,1,,
,48.92923,0,0,1,,
,48.93029,0,0,1,,
,48.9314,0,0,1,,
,48.93259,0,0,1,,
,48.93367,0,0,1,,
,48.93472,0,0,1,,
,48.93595,0,0,1,,
,48.93705,0,0,1,,
,48.93809,0,0,1,,
,48.94473,0,0,1,,
,48.94609,0,0,1,,
,48.94728,0,0,1,,
,48.94843,0,0,1,,
,48.94947,0,0,1,,
,48.95033,0,0,1,,
,48.9516,0,0,1,,
,48.95247,0,0,1,,
,48.95333,0,0,1,,
,48.95461,0,0,1,,
,48.95567,0,0,1,,
,48.95668,0,0,1,,
,48.95782,0,0,1,,
,48.9589,0,0,1,,
,48.96009,0,0,1,,
,48.96137,0,0,1,,
,48.96275,0,0,1,,
,48.96387,0,0,1,,
,48.96497,0,0,1,,
,48.96603,0,0,1,,
,48.96708,0,0,1,,
,48.96821,0,0,1,,
,48.96991,0,0,1,,
,48.97097,0,0,1,,
,48.9718,0,0,1,,
,48.97286,0,0,1,,
,48.97393,0,0,1,,
,48.97502,0,0,1,,
,48.97609,0,0,1,,
,48.97691,0,0,1,,
,48.97789,0,0,1,,
,48.97903,0,0,1,,
,48.98015,0,0,1,,
,48.98124,0,0,1,,
,48.98206,0,0,1,,
,48.98313,0,0,1,,
,48.98418,0,0,1,,
,48.98526,0,0,1,,
,48.98631,0,0,1,,
,48.98712,0,0,1,,
,48.98833,0,0,1,,
,48.98935,0,0,1,,
,48.99021,0,0,1,,
,48.99126,0,0,1,,
,48.99234,0,0,1,,
,48.9936,0,0,1,,
,48.99475,0,0,1,,
,48.99562,0,0,1,,
,48.99663,0,0,1,,
,48.99767,0,0,1,,
,48.99872,0,0,1,,
,48.99957,0,0,1,,
,49.00063,0,0,1,,
,49.00186,0,0,1,,
,49.00289,0,0,1,,
,49.00394,0,0,1,,
,49.005,0,0,1,,
,49.00592,0,0,1,,
,49.00698,0,0,1,,
,49.00803,0,0,1,,
,49.00888,0,0,1,,
,49.0099,0,0,1,,
,49.01095,0,0,1,,
,49.012,0,0,1,,
,49.01284,0,0,1,,
,49.01366,0,0,1,,
,49.01472,0,0,1,,
,49.01584,0,0,1,,
,49.01685,0,0,1,,
,49.01766,0,0,1,,
,49.01875,0,0,1,,
,49.01978,0,0,1,,
,49.02079,0,0,1,,
,49.02207,0,0,1,,
,49.02311,0,0,1,,
,49.02417,0,0,1,,
,49.02524,0,0,1,,
,49.02629,0,0,1,,
,49.02713,0,0,1,,
,49.02819,0,0,1,,
,49.02925,0,0,1,,
,49.03025,0,0,1,,
,49.03128,0,0,1,,
,49.03242,0,0,1,,
,49.03359,0,0,1,,
,49.03462,0,0,1,,
,49.03545,0,0,1,,
,49.03664,0,0,1,,
,49.03782,0,0,1,,
,49.03873,0,0,1,,
,49.03982,0,0,1,,
,49.04089,0,0,1,,
,49.04211,0,0,1,,
,49.04298,0,0,1,,
,49.04402,0,0,1,,
,49.04506,0,0,1,,
,49.04608,0,0,1,,
,49.04692,0,0,1,,
,49.04773,0,0,1,,
,49.04875,0,0,1,,
,49.0498,0,0,1,,
,49.05084,0,0,1,,
,49.05187,0,0,1,,
,49.05268,0,0,1,,
,49.05352,0,0,1,,
,49.05457,0,0,1,,
,49.05557,0,0,1,,
,49.0564,0,0,1,,
,49.05728,0,0,1,,
,49.0583,0,0,1,,
,49.05919,0,0,1,,
,49.06039,0,0,1,,
,49.06164,0,0,1,,
,49.06268,0,0,1,,
,49.0635,0,0,1,,
,49.06435,0,0,1,,
,49.06519,0,0,1,,
,49.066,0,0,1,,
,49.06681,0,0,1,,
,49.06763,0,0,1,,
,49.06866,0,0,1,,
,49.06978,0,0,1,,
,49.07073,0,0,1,,
,49.07167,0,0,1,,
,49.07256,0,0,1,,
,49.07339,0,0,1,,
,49.07422,0,0,1,,
,49.07525,0,0,1,,
,49.07608,0,0,1,,
,49.0769,0,0,1,,
,49.07796,0,0,1,,
,49.07879,0,0,1,,
,49.0796,0,0,1,,
,49.08041,0,0,1,,
,49.08144,0,0,1,,
,49.08225,0,0,1,,
,49.08329,0,0,1,,
,49.08411,0,0,1,,
,49.08492,0,0,1,,
,49.08576,0,0,1,,
,49.0866,0,0,1,,
,49.08743,0,0,1,,
,49.08824,0,0,1,,
,49.08905,0,0,1,,
,49.08986,0,0,1,,
,49.09091,0,0,1,,
,49.09173,0,0,1,,
,49.09254,0,0,1,,
,49.09335,0,0,1,,
,49.09417,0,0,1,,
,49.09498,0,0,1,,
,49.09578,0,0,1,,
,49.0968,0,0,1,,
,49.09762,0,0,1,,
,49.09842,0,0,1,,
,49.09924,0,0,1,,
,49.10005,0,0,1,,
,49.10106,0,0,1,,
,49.10189,0,0,1,,
,49.10271,0,0,1,,
,49.10352,0,0,1,,
,49.10432,0,0,1,,
,49.10512,0,0,1,,
,49.106,0,0,1,,
,49.10681,0,0,1,,
,49.10762,0,0,1,,
,49.10844,0,0,1,,
,49.10925,0,0,1,,
,49.11005,0,0,1,,
,49.11086,0,0,1,,
,49.11169,0,0,1,,
,49.11249,0,0,1,,
,49.11329,0,0,1,,
,49.1141,0,0,1,,
,49.1149,0,0,1,,
,49.1157,0,0,1,,
,49.1165,0,0,1,,
,49.11737,0,0,1,,
,49.11828,0,0,1,,
,49.11943,0,0,1,,
,49.12035,0,0,1,,
,49.12139,0,0,1,,
,49.1222,0,0,1,,
,49.12303,0,0,1,,
,49.12384,0,0,1,,
,49.12466,0,0,1,,
,49.12547,0,0,1,,
,49.12627,0,0,1,,
,49.12709,0,0,1,,
,49.12788,0,0,1,,
,49.12869,0,0,1,,
,49.12951,0,0,1,,
,49.13031,0,0,1,,
,49.13111,0,0,1,,
,49.13192,0,0,1,,
,49.13272,0,0,1,,
,49.13365,0,0,1,,
,49.13446,0,0,1,,
,49.13528,0,0,1,,
,49.1361,0,0,1,,
,49.1369,0,0,1,,
,49.13771,0,0,1,,
,49.13852,0,0,1,,
,49.1394,0,0,1,,
,49.14035,0,0,1,,
,49.14137,0,0,1,,
,49.14219,0,0,1,,
,49.14301,0,0,1,,
,49.14389,0,0,1,,
,49.14488,0,0,1,,
,49.14573,0,0,1,,
,49.14653,0,0,1,,
,49.14735,0,0,1,,
,49.14817,0,0,1,,
,49.14906,0,0,1,,
,49.14989,0,0,1,,
,49.15078,0,0,1,,
,49.15167,0,0,1,,
,49.15254,0,0,1,,
,49.15344,0,0,1,,
,49.15424,0,0,1,,
,49.15507,0,0,1,,
,49.15594,0,0,1,,
,49.15698,0,0,1,,
,49.15783,0,0,1,,
,49.15865,0,0,1,,
,49.15951,0,0,1,,
,49.16042,0,0,1,,
,49.16145,0,0,1,,
,49.16226,0,0,1,,
,49.16308,0,0,1,,
,49.16389,0,0,1,,
,49.16471,0,0,1,,
,49.16553,0,0,1,,
,49.16665,0,0,1,,
,49.16745,0,0,1,,
,49.16829,0,0,1,,
,49.16978,0,0,1,,
,49.17061,0,0,1,,
,49.17143,0,0,1,,
,49.17225,0,0,1,,
,49.17306,0,0,1,,
,49.1741,0,0,1,,
,49.17492,0,0,1,,
,49.17575,0,0,1,,
,49.17656,0,0,1,,
,49.17737,0,0,1,,
,49.17818,0,0,1,,
,49.17899,0,0,1,,
,49.17979,0,0,1,,
,49.18059,0,0,1,,
,49.18166,0,0,1,,
,49.18251,0,0,1,,
,49.18334,0,0,1,,
,49.18415,0,0,1,,
,49.18496,0,0,1,,
,49.18577,0,0,1,,
,49.18658,0,0,1,,
,49.18739,0,0,1,,
,49.1882,0,0,1,,
,49.18901,0,0,1,,
,49.18983,0,0,1,,
,49.19064,0,0,1,,
,49.19145,0,0,1,,
,49.19227,0,0,1,,
,49.19308,0,0,1,,
,49.19388,0,0,1,,
,49.19468,0,0,1,,
,49.19572,0,0,1,,
,49.197,0,0,1,,
,49.19805,0,0,1,,
,49.19889,0,0,1,,
,49.19973,0,0,1,,
,49.20054,0,0,1,,
,49.2016,0,0,1,,
,49.20243,0,0,1,,
,49.20324,0,0,1,,
,49.20406,0,0,1,,
,49.20488,0,0,1,,
,49.20568,0,0,1,,
,49.20649,0,0,1,,
,49.2073,0,0,1,,
,49.20811,0,0,1,,
,49.20898,0,0,1,,
,49.2098,0,0,1,,
,49.21087,0,0,1,,
,49.21168,0,0,1,,
,49.2125,0,0,1,,
